id,doi,title,authors,journal,abstract,keywords,publication_date,url,pdf_url,download_path,original_url,pdf_md5,created_at,updated_at
1,10.1038/s41557-025-01782-3,"Bilayer covalent organic frameworks take a twist","Cheng-Hao Liu, Dmytro F. Perepichka","Nature Chemistry","Nature Chemistry
 17, 
471–472 (2025)Cite this article","Materials chemistry, Scanning probe microscopy, Surface assembly",2025-03-28,https://nature.f.33tsg.xyz/articles/s41557-025-01782-3,https://nature.f.33tsg.xyz/articles/s41557-025-01782-3.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Bilayer covalent organic frameworks take a twist.pdf",NULL,NULL,"2025-07-11 17:02:45","2025-07-11 17:02:45"
2,10.1038/srep36682,"The Dependency of Nematic and Twist-bend Mesophase Formation on Bend Angle","Richard J. Mandle, Craig T. Archbold, Julia P. Sarju, Jessica L. Andrews, John W. Goodby","Scientific Reports","We have prepared and studied a family of cyanobiphenyl dimers with varying linking groups with a view to exploring how molecular structure dictates the stability of the nematic and twist-bend nematic mesophases. Using molecular modelling and 1D 1H NOESY NMR spectroscopy, we determine the angle between the two aromatic core units for each dimer and find a strong dependency of the stability of both the nematic and twist-bend mesophases upon this angle, thereby satisfying earlier theoretical models.","Liquid crystals",2016-11-07,https://nature.f.33tsg.xyz/articles/srep36682,https://nature.f.33tsg.xyz/articles/srep36682.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/The Dependency of Nematic and Twist-bend Mesophase Formation on Bend Angle.pdf",NULL,NULL,"2025-07-11 17:02:45","2025-07-11 17:02:45"
3,10.1038/s41467-022-28072-7,"Controlling the helicity of π-conjugated oligomers by tuning the aromatic backbone twist","Anjan Bedi, Amit Manor Armon, Yael Diskin-Posner, Benny Bogosalvsky, Ori Gidron","Nature Communications","The properties of π-conjugated oligomers and polymers are commonly controlled by side group engineering, main chain engineering, or conformational engineering. The last approach is typically limited to controlling the dihedral angle around the interring single bonds to prevent loss of π-conjugation. Here we propose a different approach to conformational engineering that involves controlling the twist of the aromatic units comprising the backbone by using a tether of varying lengths. We demonstrate this approach by synthesizing an inherently twisted building unit comprised of helically locked tethered acenes, bearing acetylene end-groups to enable backbone extension, which was applied in a series of nine helical oligomers with varying backbone length and twist. We find that the optical and electronic properties of π-conjugated systems may be determined by the additive, antagonistic, or independent effects of backbone length and twist angle. The twisted oligomers display chiral amplification, arising from the formation of secondary helical structures.","Organic chemistry, Physical chemistry",2022-01-21,https://nature.f.33tsg.xyz/articles/s41467-022-28072-7,https://nature.f.33tsg.xyz/articles/s41467-022-28072-7.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Controlling the helicity of π-conjugated oligomers by tuning the aromatic backbone twist.pdf",NULL,NULL,"2025-07-11 17:02:45","2025-07-11 17:02:45"
4,10.1038/s41563-024-01963-4,"Atomically precise inorganic helices with a programmable irrational twist","Dmitri Leo Mesoza Cordova, Kenneth Chua, Tyler A. Kerr, Toshihiro Aoki, David Knez, Grigorii Skorupskii, Diana Lopez, Joseph Ziller, Dmitry A. Fishman, Maxx Q. Arguilla","Nature Materials","Helicity in solids often arises from the precise ordering of cooperative intra- and intermolecular interactions unique to natural, organic or molecular systems. This exclusivity limited the realization of helicity and its ensuing properties in dense inorganic solids. Here we report that Ga atoms in GaSeI, a representative III–VI–VII one-dimensional (1D) van der Waals crystal, manifest the rare Boerdijk–Coxeter helix motif. This motif is a non-repeating geometric pattern characterized by 1D face-sharing tetrahedra whose adjacent vertices are rotated by an irrational angle. Using InSeI and GaSeI, we show that the modularity of 1D van der Waals lattices accommodates the systematic twisting of a periodic tetrahelix with a 41 screw axis in InSeI to an infinitely extending Boerdijk–Coxeter helix in GaSeI. GaSeI crystals are non-centrosymmetric, optically active and exfoliable to a single chain. These results present a materials platform towards understanding the origin and physical manifestation of aperiodic helicity in low-dimensional solids.","Materials chemistry, Materials science",2024-07-26,https://nature.f.33tsg.xyz/articles/s41563-024-01963-4,https://nature.f.33tsg.xyz/articles/s41563-024-01963-4.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Atomically precise inorganic helices with a programmable irrational twist.pdf",NULL,NULL,"2025-07-11 17:18:05","2025-07-11 17:18:05"
5,10.1038/s41557-024-01599-6,"Dynamic structural twist in metal–organic frameworks enhances solar overall water splitting","Kang Sun, Yan Huang, Fusai Sun, Qingyu Wang, Yujie Zhou, Jingxue Wang, Qun Zhang, Xusheng Zheng, Fengtao Fan, Yi Luo, Jun Jiang, Hai-Long Jiang","Nature Chemistry","Photocatalytic overall water splitting holds great promise for solar-to-hydrogen conversion. Maintaining charge separation is a major challenge but is key to unlocking this potential. Here we discovered a metal–organic framework (MOF) that shows suppressed charge recombination. This MOF features electronically insulated Zn2+ nodes and two chemically equivalent, yet crystallographically independent, linkers. These linkers behave as an electron donor–acceptor pair with non-overlapping band edges. Upon photoexcitation, the MOF undergoes a dynamic excited-state structural twist, inducing orbital rearrangements that forbid radiative relaxation and thereby promote a long-lived charge-separated state. As a result, the MOF achieves visible-light photocatalytic overall water splitting, in the presence of co-catalysts, with an apparent quantum efficiency of 3.09 ± 0.32% at 365 nm and shows little activity loss in 100 h of consecutive runs. Furthermore, the dynamic excited-state structural twist is also successfully extended to other photocatalysts. This strategy for suppressing charge recombination will be applicable to diverse photochemical processes beyond overall water splitting.","Heterogeneous catalysis, Metal–organic frameworks, Organic–inorganic nanostructures, Photocatalysis",2024-08-12,https://nature.f.33tsg.xyz/articles/s41557-024-01599-6,https://nature.f.33tsg.xyz/articles/s41557-024-01599-6.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Dynamic structural twist in metal–organic frameworks enhances solar overall water splitting.pdf",NULL,NULL,"2025-07-11 17:18:06","2025-07-11 17:18:06"
6,10.1038/s41557-021-00865-1,"Tunable angle-dependent electrochemistry at twisted bilayer graphene with moiré flat bands","Yun Yu, Kaidi Zhang, Holden Parks, Mohammad Babar, Stephen Carr, Isaac M. Craig, Madeline Van Winkle, Artur Lyssenko, Takashi Taniguchi, Kenji Watanabe, Venkatasubramanian Viswanathan, D. Kwabena Bediako","Nature Chemistry","Tailoring electron transfer dynamics across solid–liquid interfaces is fundamental to the interconversion of electrical and chemical energy. Stacking atomically thin layers with a small azimuthal misorientation to produce moiré superlattices enables the controlled engineering of electronic band structures and the formation of extremely flat electronic bands. Here, we report a strong twist-angle dependence of heterogeneous charge transfer kinetics at twisted bilayer graphene electrodes with the greatest enhancement observed near the ‘magic angle’ (~1.1°). This effect is driven by the angle-dependent tuning of moiré-derived flat bands that modulate electron transfer processes with the solution-phase redox couple. Combined experimental and computational analysis reveals that the variation in electrochemical activity with moiré angle is controlled by a structural relaxation of the moiré superlattice at twist angles of <2°, and ‘topological defect’ AA stacking regions, where flat bands are localized, produce a large anomalous local electrochemical enhancement that cannot be accounted for by the elevated local density of states alone.","Computational chemistry, Electrochemistry, Electron transfer, Graphene, Two-dimensional materials",2022-02-17,https://nature.f.33tsg.xyz/articles/s41557-021-00865-1,https://nature.f.33tsg.xyz/articles/s41557-021-00865-1.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Tunable angle-dependent electrochemistry at twisted bilayer graphene with moiré flat bands.pdf",NULL,NULL,"2025-07-11 17:18:06","2025-07-11 17:18:06"
7,10.1038/s43588-021-00165-1,"A shortcut to the thermodynamic limit for quantum many-body calculations of metals","Tina N. Mihm, Tobias Schäfer, Sai Kumar Ramadugu, Laura Weiler, Andreas Grüneis, James J. Shepherd","Nature Computational Science","Computationally efficient and accurate quantum mechanical approximations to solve the many-electron Schrödinger equation are crucial for computational materials science. Methods such as coupled cluster theory show potential for widespread adoption if computational cost bottlenecks can be removed. For example, extremely dense k-point grids are required to model long-range electronic correlation effects, particularly for metals. Although these grids can be made more effective by averaging calculations over an offset (or twist angle), the resultant cost in time for coupled cluster theory is prohibitive. We show here that a single special twist angle can be found using the transition structure factor, which provides the same benefit as twist averaging with one or two orders of magnitude reduction in computational time. We demonstrate that this not only works for metal systems but also is applicable to a broader range of materials, including insulators and semiconductors.","Computational methods, Density functional theory, Method development, Quantum chemistry",2021-12-16,https://nature.f.33tsg.xyz/articles/s43588-021-00165-1,https://nature.f.33tsg.xyz/articles/s43588-021-00165-1.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/A shortcut to the thermodynamic limit for quantum many-body calculations of metals.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
8,10.1038/s41557-022-00900-9,"Let’s twist electrochem","Oluwasegun J. Wahab, Patrick R. Unwin","Nature Chemistry","Nature Chemistry
 14, 
248–250 (2022)Cite this article","Electrocatalysis, Electronic properties and devices",2022-03-07,https://nature.f.33tsg.xyz/articles/s41557-022-00900-9,https://nature.f.33tsg.xyz/articles/s41557-022-00900-9.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Let’s twist electrochem.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
9,10.1038/s41557-025-01748-5,"Moiré two-dimensional covalent organic framework superlattices","Gaolei Zhan, Brecht Koek, Yijia Yuan, Yikuan Liu, Vipin Mishra, Veniero Lenzi, Karol Strutyński, Chunxiao Li, Rongrong Zhang, Xin Zhou, Hwa Seob Choi, Zhen-Feng Cai, Joaquín Almarza, Kunal S. Mali, Aurelio Mateo-Alonso, Manuel Melle Franco, Yihan Zhu, Steven De Feyter, Kian Ping Loh","Nature Chemistry","The on-surface synthesis of two-dimensional (2D) polymers from monomers represents a useful strategy for designing lattice, orbital and spin symmetries. Like other 2D materials, the ordered stacking of 2D polymers into bilayers may allow developing unique optoelectronic, charge transport and magnetic properties not found in the individual layers. However, controlling layer stacking of 2D polymers remains challenging. Here we describe a method for synthesizing 2D polymer bilayers or bilayer 2D covalent organic frameworks at the liquid–substrate interface through the direct condensation of monomers. More importantly, we also show how factors such as monomer structure and solvent mixture influence the bilayer stacking modes and how, under certain conditions, large-area moiré superlattices emerge from the twisted bilayer stacking. This finding offers new opportunities for the design of bilayer stacked framework materials with tunable electronic and structural properties.","Imaging techniques, Materials chemistry, Polymerization mechanisms",2025-02-20,https://nature.f.33tsg.xyz/articles/s41557-025-01748-5,https://nature.f.33tsg.xyz/articles/s41557-025-01748-5.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Moiré two-dimensional covalent organic framework superlattices.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
10,10.1038/s41565-019-0510-2,"Understanding the twist","Olga Bubnova","Nature Nanotechnology","Nature Nanotechnology
 14, 
638 (2019)Cite this article","Molecular dynamics, Two-dimensional materials",2019-07-03,https://nature.f.33tsg.xyz/articles/s41565-019-0510-2,https://nature.f.33tsg.xyz/articles/s41565-019-0510-2.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Understanding the twist.pdf",NULL,NULL,"2025-07-11 17:32:47","2025-07-11 17:32:47"
